Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),City,IsCondo,Latitude,Longitude
9353260.0,1.0,1.0,62.0,0.0,Quezon City,1,14.605396,121.081903
32200000.0,0.0,0.0,93.0,0.0,Pasig,1,14.588716,121.060009
2131988.0,1.0,1.0,24.0,0.0,Quezon City,1,14.640624,121.076504
6200000.0,1.0,1.0,29.0,0.0,San Juan,1,14.600676,121.43876
4600000.0,2.0,1.0,35.0,0.0,Baguio,1,16.39936,120.581264
6963000.0,1.0,1.0,31.0,0.0,Manila,1,14.551476,120.9895887
3756900.0,1.0,1.0,40.0,0.0,Muntinlupa,1,14.434669,121.040194
8929270.0,1.0,1.0,53.0,0.0,Cebu,1,10.315,123.90592845448
5969000.0,4.0,0.0,83.0,99.0,San Jose del Monte,0,14.8450503,121.0612785
5071500.0,2.0,1.0,54.0,0.0,Muntinlupa,1,14.434669,121.040194
4297800.0,3.0,0.0,112.0,80.0,Santa Maria,0,14.843912,120.968376
9434000.0,3.0,0.0,174.0,176.0,Silang,0,14.183344,121.012375
8800000.0,2.0,2.0,69.0,0.0,San Juan,1,14.600676,121.43876
6623819.0,2.0,2.0,56.0,0.0,Manila,1,14.570199,120.991585
8788000.0,1.0,0.0,35.0,0.0,Pasig,1,14.588882,121.079016
10000000.0,2.0,2.0,74.0,0.0,Muntinlupa,1,14.4179774,121.037608
10760000.0,2.0,2.0,76.0,0.0,Davao,1,7.095857,125.630475
4460000.0,3.0,0.0,63.0,88.0,Silang,0,14.183344,121.012375
3020930.0,1.0,1.0,29.0,0.0,Manila,1,14.570199,120.991585
4378246.0,3.0,0.0,119.0,104.0,Dasmarinas,0,14.285456,120.950177
1962165.0,1.0,1.0,18.0,0.0,Mandaluyong,1,14.578255,121.052143
8800000.0,2.0,2.0,69.0,0.0,San Juan,1,14.600676,121.43876
2395000.0,3.0,0.0,60.0,50.0,Imus,0,14.4084872,120.9062254
8788000.0,1.0,0.0,35.0,0.0,Pasig,1,14.588882,121.079016
10000000.0,2.0,2.0,74.0,0.0,Muntinlupa,1,14.4179774,121.037608
6623819.0,2.0,2.0,56.0,0.0,Manila,1,14.570199,120.991585
15982506.0,2.0,2.0,84.0,0.0,Mandaluyong,1,14.578255,121.052143
15803200.0,3.0,2.0,120.0,0.0,Pasay,1,14.55323,120.990226
39127000.0,0.0,0.0,141.0,0.0,Pasig,1,14.587964,121.079045
4297800.0,3.0,0.0,112.0,80.0,Santa Maria,0,14.843912,120.968376
4746044.0,1.0,1.0,20.0,0.0,Mandaluyong,1,14.592173,121.053333
5200000.0,5.0,0.0,107.0,141.0,Mexico,0,15.125835,120.680386
6500000.0,4.0,0.0,119.0,150.0,Lipa,0,14.0042716,121.1705877
5071500.0,2.0,1.0,54.0,0.0,Muntinlupa,1,14.434669,121.040194
2881668.0,1.0,1.0,28.0,0.0,Las Pinas,1,14.4324914,121.0140532
3200000.0,3.0,0.0,55.0,80.0,Tanza,0,14.35989,120.822985
3587010.0,3.0,0.0,112.0,72.0,Tanza,0,14.292781,120.828878
6100000.0,1.0,1.0,32.0,0.0,Pasig,1,14.565391,121.06934
10000000.0,2.0,2.0,68.0,0.0,Quezon City,1,14.644874,121.050593
7500000.0,3.0,2.0,70.0,0.0,Cebu,1,10.36171,123.911374
42162000.0,2.0,2.0,114.0,0.0,Pasig,1,14.588377,121.059897
9268000.0,5.0,0.0,179.0,176.0,Silang,0,14.183344,121.012375
2671400.0,4.0,0.0,70.0,60.0,General Trias,0,14.37318,120.896613
2226263.0,1.0,1.0,19.0,0.0,Manila,1,14.570199,120.991585
5400000.0,4.0,0.0,83.0,110.0,Calamba,0,14.188482,121.109967
1817900.0,2.0,0.0,52.0,80.0,Calamba,0,14.176345,121.122173
